Category,Dish No.,Name - English,Name - German,Name - Vietnamese,Description - English,Description - German,Description - Vietnamese,Price CHF,Allergens
Appetizer,10,Vegetarian Spring Rolls,Vegetarische Frühlingsrollen,Chả giò chay,Vegetarian spring rolls with vegetables and sweet-and-sour dip,Vegetarische Frühlingsrollen mit Gemüse und süss-saurem Dip,"Chả giò chay nhân rau củ, dùng kèm nước chấm chua ngọt",12.5,A
Appetizer,11,Kimchi,Kimchi,Kim chi Hàn Quốc,Korean-style napa cabbage salad,Koreanischer Chinakohl-Salat,Kim chi cải thảo kiểu Hàn Quốc,7.5,B D O
Appetizer,12,Fresh Summer Roll - Beef,Frische Sommerrolle – Rindfleisch,Gỏi cuốn bò,"Fresh homemade rice-paper roll with salad, mung bean sprouts and fresh herbs, served with Hoisin, tamarind and Nước Mắm dip","Frische hausgemachte Reispapierrolle mit Salat, Mungosprossen und frischen Kräutern, dazu Hoisin-, Tamarinden- und Nước-Mắm-Dip","Bánh tráng cuốn tươi tự làm với rau xà lách, giá đỗ và rau thơm, dùng kèm nước chấm Hoisin, me và nước mắm",8.5,F
Appetizer,12,Fresh Summer Roll - Prawn,Frische Sommerrolle – Krevetten,Gỏi cuốn tôm,"Fresh homemade rice-paper roll with salad, mung bean sprouts and fresh herbs, served with Hoisin, tamarind and Nước Mắm dip","Frische hausgemachte Reispapierrolle mit Salat, Mungosprossen und frischen Kräutern, dazu Hoisin-, Tamarinden- und Nước-Mắm-Dip","Bánh tráng cuốn tươi tự làm với rau xà lách, giá đỗ và rau thơm, dùng kèm nước chấm Hoisin, me và nước mắm",8.5,B F
Appetizer,12,Fresh Summer Roll - Duck,Frische Sommerrolle – Ente,Gỏi cuốn vịt,"Fresh homemade rice-paper roll with salad, mung bean sprouts and fresh herbs, served with Hoisin, tamarind and Nước Mắm dip","Frische hausgemachte Reispapierrolle mit Salat, Mungosprossen und frischen Kräutern, dazu Hoisin-, Tamarinden- und Nước-Mắm-Dip","Bánh tráng cuốn tươi tự làm với rau xà lách, giá đỗ và rau thơm, dùng kèm nước chấm Hoisin, me và nước mắm",8.5,F
Appetizer,12,Fresh Summer Roll - Fried Tofu,Frische Sommerrolle – gebratener Tofu,Gỏi cuốn đậu hủ chiên,"Fresh homemade rice-paper roll with salad, mung bean sprouts and fresh herbs, served with Hoisin, tamarind and Nước Mắm dip","Frische hausgemachte Reispapierrolle mit Salat, Mungosprossen und frischen Kräutern, dazu Hoisin-, Tamarinden- und Nước-Mắm-Dip","Bánh tráng cuốn tươi tự làm với rau xà lách, giá đỗ và rau thơm, dùng kèm nước chấm Hoisin, me và nước mắm",7.5,F
Appetizer,13,Edamame,Edamame,Đậu nành hấp,"Japanese green soybeans, steamed and sprinkled with sea salt","Japanische grüne Sojabohnen, gedämpft und mit Meersalz bestreut","Đậu nành xanh Nhật Bản hấp chín, rắc muối biển",7.5,F
Appetizer,14,Chili Squid,Chili-Calamari,Mực chiên giòn,"Deep-fried squid pieces marinated with chili seasoning, served with green chili dip","Frittierte Calamaristücke, mit Chili-Würzpulver mariniert, dazu grüner Chili-Dip","Mực cắt miếng chiên giòn, ướp bột gia vị ớt, dùng kèm nước chấm ớt xanh",15.5,A D R
Appetizer,15,Chicken Satay (3 pcs.),Poulet-Satay (3 Stück),Gà saté,Homemade marinated chicken skewers with peanut sauce,Hausgemachte marinierte Pouletspiesschen mit Erdnusssauce,"Xiên gà ướp gia vị tự làm, dùng kèm sốt đậu phộng",14.5,D E
Appetizer,16,Vegetarian Gyoza,Vegetarische Gyoza,Gyoza chay,"Crispy fried dumplings filled with vegetables, served with soy-ginger vinegar dip","Knusprig gebratene Teigtaschen mit Gemüsefüllung, dazu Soja-Ingwer-Essig-Dip","Bánh gyoza nhân rau củ chiên giòn, dùng kèm nước chấm giấm đậu nành và gừng",12.5,A F N
Appetizer,17,Vietnamese Spring Rolls,Vietnamesische Frühlingsrollen,Chả giò nem,"Crispy Vietnamese rice-paper spring rolls with chicken, served with fresh salad and mint, with Nước Mắm dip","Knusprige vietnamesische Frühlingsrollen aus Reispapier mit Poulet, serviert mit frischem Salat und Pfefferminze, dazu Nước-Mắm-Dip","Chả giò Việt Nam giòn làm từ bánh tráng, nhân thịt gà, dùng kèm rau xà lách, bạc hà tươi và nước mắm",16.5,B D
Appetizer,18,Papaya Salad with Prawns,Papayasalat mit Krevetten,Gỏi đu đủ tôm,"Fresh green papaya salad with prawns, mint, roasted peanuts, fish sauce, chili and lime, served with sesame rice chips","Frischer grüner Papayasalat mit Krevetten, Pfefferminze, gerösteten Erdnüssen, Fischsauce, Chili und Limette, dazu Sesam-Reischips","Gỏi đu đủ xanh tươi với tôm, bạc hà, đậu phộng rang, nước mắm, ớt và chanh, dùng kèm bánh gạo mè",19.5,B D E
